sender_id,recipient_id,time,state_label,value,token_decimals,address1,address2,address3,address4,address5,address6,address7,address8,address9,address10,address11,address12,address13,address14,address15,address16,address17,address18,address19,address20,address21,address22,address23,address24,address25,address26,address27,address28,address29,address30,address31,address32,address33,address34,address35,address36,address37,address38,address39,address40,counts,mean,var,sender_closeness,sender_betweenness,sender_eigenvector,sender_pagerank,sender_indegree,sender_outdegree,sender_tx_per_account,sender_degree,recipient_closeness,recipient_betweenness,recipient_eigenvector,recipient_pagerank,recipient_indegree,recipient_outdegree,recipient_tx_per_account,recipient_degree
363165,363219,2678375,0,0.338870888235001,0.7391304350434783,1,11,4,0,1,8,3,14,15,11,4,13,13,7,6,6,15,1,1,11,13,10,7,10,7,12,3,10,13,8,9,8,2,14,9,9,8,4,2,1,0.0020155495151166,0.3830244460302283,0.2397884229445258,0.0,0.0,0.0075101364537193,0.0005762116833715,0.0,0.0041493775933609,1.0,0.0041493775933609,0.0020746887966804,0.0,0.0354389166878615,0.0006578494882226,0.0041493775933609,0.0041493775933609,0.5,0.0082987551867219
363163,363165,2678375,0,0.3339649631381846,0.7391304350434783,1,11,4,0,1,8,3,14,15,11,4,13,13,7,6,6,15,1,1,11,13,10,7,10,7,12,3,10,13,8,9,8,2,14,9,9,8,4,2,1,0.0123812275928591,0.3771675503198299,0.2583856651968146,0.1642863180797459,0.0,0.0143074917610518,0.0058585709317275,0.0414937759336099,0.0,1.0,0.0414937759336099,0.0,0.0,0.0075101364537193,0.0005762116833715,0.0,0.0041493775933609,1.0,0.0041493775933609
15158,15156,2678387,0,0.3908878609687425,0.7391304350434783,0,12,3,7,11,12,15,4,5,6,11,12,6,6,1,12,1,4,13,5,9,6,6,8,3,3,2,5,6,2,3,0,7,6,13,7,14,2,8,3,0.0354160677656205,0.5093530116573919,0.4160830290507451,0.1568106312292359,0.0,0.0454312632586195,0.0016864034797235,0.0033898305084745,0.0,1.0,0.0033898305084745,0.2416843220338983,0.1875366382056836,0.0975405976134022,0.0953503170341899,1.5966101694915251,1.5932203389830508,0.0648246546227417,3.1898305084745764
51202,51218,2678399,0,0.3780266607141266,0.3478260876086957,10,13,2,6,1,4,10,0,7,10,12,15,3,0,8,4,12,6,10,13,11,11,7,5,10,3,11,15,7,15,4,3,2,4,4,15,2,15,7,12,0.0034552270259141,0.4786353705668368,0.3657987233791558,0.149407453575391,0.0,0.0001037961173098,0.0010162949189877,0.002283105022831,0.002283105022831,0.5,0.0045662100456621,0.1502680166765932,0.0,0.0001037961173098,0.0010162949189877,0.002283105022831,0.0,1.0,0.002283105022831
